nome_processo,"Ecotoxicity, freshwater impact","Human toxicity, cancer impact",Climate change impact,"Human toxicity, non-cancer impact","Resource use, fossils impact","Resource use, minerals and metals impact",Water use impact,Land use impact,"Eutrophication, freshwater impact",EF-particulate Matter impact,Photochemical ozone formation - human health impact,Acidification impact,"Eutrophication, terrestrial impact",Eutrophication marine impact,Ozone depletion impact,"Ionising radiation, human health impact",categoria
buckwheat,0.12877993271951843,0.22568337078917464,0.19672316036203064,0.26392892133422763,0.1658831992441016,0.08170447366549327,0.19896240884458144,0.18694132240344635,0.2768676580151614,0.3582923894638771,0.4951551045523989,0.9440860675578547,0.8486738477477249,0.3028616466058715,0.15175184636454095,0.08640282627541677,Agricoltura & cereali
"Ocean bulk ship production (100 - 200,000t DWT)",0.007960665848551903,0.02065432178753368,0.021001506740645916,0.00280985742149294,0.03127657840137537,0.025953474089271553,-0.0033866511274993068,0.0011627116552230903,0.0001581394268003877,0.00983481863892945,0.018772954126132845,0.024238988937148865,0.010624240207698725,0.0014527548415217018,4.6426401643079776e-05,0.01565741302638379,Trasporti & veicoli
black peat,0.0010284719290264343,0.0001329317796451031,0.007847967217893846,0.00015802520526149257,0.001616257101519549,3.121028220227882e-05,5.310618560758991e-05,-0.002794719409726617,2.4850807249092307e-05,0.002903388484603435,0.0069095822863563415,0.004367869422391959,0.004526377554122997,0.0006001372448697313,8.6884421264021e-10,0.00015345272245581955,Agricoltura & cereali
white peat,0.0011205216530464743,0.00014483218080663313,0.006246686604858474,0.0001714239397461697,0.0017609486714332636,3.4004308428089175e-05,5.7860390467985465e-05,-0.0020780853932109325,2.707551661687404e-05,0.003163307427890189,0.0075254110789597164,0.004758892535799983,0.004931590730734887,0.0006538631032385848,9.466254227083146e-10,0.0001671902121774681,Agricoltura & cereali
"Ocean container ship production (27,500t DWT)",0.005837821622271393,0.015146502644191777,0.015401104943140337,0.002060562109094818,0.022936157494341917,0.019032547665465735,-0.002483544160165979,0.0008526552138302744,0.0001159689129869511,0.007212200335214941,0.013766833025830759,0.017775258553909167,0.007791109485645737,0.0010653535504492493,3.4046027871591745e-05,0.011482102886014787,Trasporti & veicoli
yeast,0.07071545044981474,0.01827151464018787,0.019913308269560767,0.0033643417763069543,0.04402331784016351,0.04045810589138658,0.13854299320062569,0.004585701323404009,0.0038489304455031053,0.011763007600285995,0.02256056540578583,0.032574740268956515,0.016017808336464545,0.004505565951191079,0.09473745333653968,0.13838189453007557,Altro
cow milk,0.05166983782873981,0.0013072043620892119,0.006915063072827113,0.0029238538824499028,0.0018846706992724765,0.0005311160280621918,0.01087670032689341,0.005127965481111611,0.003764792393656972,0.007194781160542702,0.00901844874503479,0.02546851995362263,0.021667488568727848,0.005500316157228607,0.017133848965598487,0.0032033723380455316,Zootecnia & prodotti animali
"Treatment of decommissioned wellboat, 116 m, 894 t fish",0.0009238802225710453,0.000967169485816094,0.0038855078891212023,0.004314601093731093,0.005036865635388468,0.048853272891163056,0.004462580538004509,0.00010158182397799849,1.4754003871336919e-05,0.005082031778615057,0.004824286699265651,0.00751397888351879,0.002851852008066329,0.0003841221352231461,0.00013141747898259845,0.0029150446751588874,Agricoltura & cereali
"Treatment of decommissioned wellboat, 88 m, 540 t fish",0.0004234451020543282,0.00044328601437699594,0.0017808577827118656,0.0019775255014923346,0.002308563416451928,0.022391083410702013,0.0020453494134578293,4.655833599459916e-05,6.762251775042951e-06,0.0023292645654319774,0.002211131404077216,0.003443906988640665,0.0013070988371778126,0.0001760559786637839,6.02330112064221e-05,0.001336062142915549,Agricoltura & cereali
Cargo plane production,0.0007388477581266239,0.000756563728761836,0.0014466163553797204,0.0015931914158912042,0.0031136584607660382,0.005337709128727556,0.002939090082662296,9.983342299595974e-05,1.3709018880632416e-05,0.0007874298178973854,0.0013012462508395683,0.00261566787309751,0.0008081679300339705,0.0001100855853021456,0.0004113410012612617,0.017233469408854785,Trasporti & veicoli
Train production (diesel locomotive),0.00011981496863868004,0.00026603990380392285,0.00027905477155057304,5.203969463019449e-05,0.0005278950963177282,0.0016918305103356757,4.286427271652981e-05,1.1836891568875114e-05,2.6093661962722285e-06,0.00014405431034212308,0.00022424817118443433,0.0003382554378656247,0.00013349247290339857,1.832051348346981e-05,2.6030365775946795e-07,0.001764215400084317,Trasporti & veicoli
"Greenhouse, Venlo type, to consumer ",0.0014320272432376071,0.0003972018232595718,0.0013411164277835788,0.00038223573173592145,0.001965188420143911,0.00027312173955984915,0.00023959931774193618,0.0016421297525200426,4.0397184760698616e-05,0.0031232126381817923,0.003198558342840292,0.004504740137028227,0.002235005703028336,0.0002940020264321034,0.001746812952011158,0.001984796337211713,Altro
Train production (average),0.00012611786034067026,0.00026682582694318677,0.0002821112796518594,7.321128821027005e-05,0.00052713266309955,0.003774078849118279,4.9111937046135765e-05,2.550327039071931e-05,3.3807253274659716e-06,0.00015672387099144696,0.00022886062807730704,0.0003825189802917434,0.00013996175601680954,1.913499071190887e-05,2.668120393767892e-07,0.0016612943685915965,Trasporti & veicoli
Train production (electric locomotive),0.00012713873227932886,0.00026695360860162277,0.00028260888989338674,7.665773513013318e-05,0.0005270086628217912,0.00411304995537177,5.0129736394280095e-05,2.772890930914633e-05,3.506487855741229e-06,0.00015878681561799112,0.00022961166329079992,0.0003897253983460226,0.00014101528243763343,1.9267649024952648e-05,2.6788116634967705e-07,0.001644539814297335,Trasporti & veicoli
"Treatment of decommissioned steel fishing vessel, 56 m, 486 t ",9.846618162661692e-05,0.00010307990573610872,0.00041411334086011376,0.000459845642933493,0.0005368238375130742,0.005206730400797149,0.00047561713633797694,1.0826483872492827e-05,1.5724662022442415e-06,0.0005416375975163373,0.0005141673982706231,0.0008008319600421365,0.0003039473851056432,4.093933283776095e-05,1.4006336577278497e-05,0.00031068239304345873,Pesca & acquacoltura
"Treatment of decommissioned wellboat, 40 m, 78 t fish",6.118680421207268e-05,6.4053768576016e-05,0.00025732968914107964,0.00028574770400501486,0.00033358189075351826,0.0032354579852267415,0.00029554809702455047,6.727568166737181e-06,9.771292037266574e-07,0.00033657315725628683,0.0003195031980555547,0.0004976363207782221,0.00018887265491448365,2.5439667726729714e-05,8.703526020051106e-06,0.000193057783304454,Agricoltura & cereali
"Greenhouse, multi-tunnel, to consumer ",0.00018351439261063204,0.000433111698624588,0.00017147933278366994,4.8208109528942485e-05,0.0003201322952170373,0.00075444016243504,0.00023238651229514249,0.0007921195805444498,2.828094240310767e-06,0.0001260612828914167,0.00032915443370937225,0.0003321386737680809,0.00020759330225247286,2.7673835992888495e-05,4.776019198487271e-06,7.130033259272868e-05,Altro
"Treatment of decommissioned steel fishing vessel, 40 m, 213 t",4.315493144379651e-05,4.517699571351782e-05,0.00018149411848464916,0.0002015372879063607,0.00023527464478230936,0.002281962088717729,0.00020844948563144948,4.744940461553374e-06,6.8916728601157e-07,0.00023738437910266505,0.00022534497079155876,0.0003509819083307204,0.00013321150825381167,1.7942547103434187e-05,6.138579609629244e-06,0.00013616327099415983,Pesca & acquacoltura
eggs,0.001970191791491311,2.0921228074328875e-05,0.00017230542644753816,7.500043513247365e-05,8.630056720323906e-05,9.92293529357297e-06,0.0018294510904077637,0.0001312790354410608,8.557675044009712e-05,0.0003749273113160585,0.00021563011939299356,0.0011839767386757018,0.0009883070743752801,0.00010488719503924658,0.00038559195318905515,0.00016931492176319631,Zootecnia & prodotti animali
wool,3.7430226859308424e-05,3.377449232639392e-06,0.00013316909814639578,6.368722002735102e-06,2.084711599771701e-05,5.636721568350314e-06,4.166379667883963e-05,7.801378927731083e-05,1.5783163675772572e-05,0.00040245975946206423,7.433426410677173e-05,0.0019105595785744724,0.001598871958643361,0.0002995689651349193,8.32696594019271e-05,1.3932329953217494e-05,Zootecnia & prodotti animali
"Treatment of decommissioned steel fishing vessel, 29 m, 73 t",1.4790187773929342e-05,1.5483195716246314e-05,6.220220962978999e-05,6.907146487917639e-05,8.063403319981592e-05,0.0007820809037567029,7.144043405290402e-05,1.6262002523138493e-06,2.361934830329933e-07,8.135708768495446e-05,7.723090549439391e-05,0.00012028957423435088,4.565464837577393e-05,6.149323656122973e-06,2.1038324486709594e-06,4.666628537085838e-05,Pesca & acquacoltura
Truck production (>32t gross weight),7.619238237359324e-06,1.9913216013102456e-05,1.3843099753505382e-05,2.953726021319041e-06,2.6103027414901645e-05,7.586032321023574e-05,1.2826733938596027e-06,3.1795128457001614e-06,4.4810446619719853e-07,6.6559492202949685e-06,1.1969845146739378e-05,1.570320316274132e-05,7.113823141853037e-06,9.360224880249741e-07,3.589326701525369e-07,3.437572020819872e-05,Trasporti & veicoli
Truck production (28t - 32t gross weight),7.440964442991902e-06,1.9638644863256483e-05,1.351524719389166e-05,2.8968339268038326e-06,2.553531824674412e-05,7.533941290297255e-05,1.2402918676762684e-06,2.9292562659562423e-06,4.3188139350827186e-07,6.431706286381712e-06,1.1628440379660433e-05,1.52917574446801e-05,6.9162346083698325e-06,9.108416685739549e-07,3.589300283163285e-07,3.3891920957776306e-05,Trasporti & veicoli
Truck production (26t - 28t gross weight),6.92497233336379e-06,1.7325099259332047e-05,1.2597699433149744e-05,2.635183513757754e-06,2.355048938911374e-05,6.387794342770114e-05,1.2158050765780092e-06,3.600783489605997e-06,4.304726306315225e-07,6.326426512201625e-06,1.11271246063926e-05,1.4450310264108322e-05,6.591506772305233e-06,8.639921960294506e-07,2.9228442626202793e-07,2.994758913909812e-05,Trasporti & veicoli
Truck production (20t - 26t gross weight),6.390150950261488e-06,1.6501385809794184e-05,1.161414175430862e-05,2.46450723021213e-06,2.1847361884641312e-05,6.231521250590922e-05,1.0886604980225657e-06,2.8500137503744313e-06,3.818034125647423e-07,5.653697710462527e-06,1.0102910305155781e-05,1.3215973109924622e-05,5.998741171855641e-06,7.884497376763951e-07,2.922765007533992e-07,2.8496191387830913e-05,Trasporti & veicoli
Foreground elementary flows of Rapeseed production,0.001499563741303985,1.0458307270424908e-05,3.480103809769013e-05,8.234305118630953e-05,0.0,0.0,7.76115221458131e-07,9.759748407488152e-05,5.639479770290318e-05,6.247892452860867e-06,4.110333608541733e-06,3.43759185227299e-05,2.9789469274902952e-05,8.122466433790652e-05,0.0,0.0,Agricoltura & cereali
Foreground elementary flows of Soybean production,0.000319980965497671,2.853102334796532e-06,2.3618427349371212e-05,1.9052159604104438e-05,0.0,0.0,0.00016916354132529175,2.7937301114809455e-05,2.3528275362379453e-05,3.3630240308406687e-06,5.213669669361626e-07,1.7114323385108462e-05,1.4445344367304658e-05,1.4636120719420962e-05,0.0,0.0,Agricoltura & cereali
Foreground elementary flows of Maize production,0.002017430932135272,6.5854054269837505e-06,3.325656018532525e-05,5.7480603452570735e-05,0.0,0.0,0.004468998960828619,7.894115495762615e-05,6.471474556113145e-05,2.7003361847715025e-05,4.80589359209264e-06,0.00013782773637906827,0.0001164870074928726,9.289904252463985e-05,0.0,0.0,Agricoltura & cereali
Foreground elementary flows of Sugar beet production,0.0006164146644765127,5.646672714739737e-06,2.112841192284908e-05,4.0380996196675996e-05,0.0,0.0,0.0019744693877432697,7.894068771885219e-05,6.24601009569762e-05,1.0970088545671674e-07,2.578073096315721e-06,2.681327002853367e-06,2.8943597873617548e-06,8.555511814194743e-05,0.0,0.0,Agricoltura & cereali
Foreground elementary flows of Linseed production,0.00039733463426790084,2.5871726143724264e-06,4.923260688226431e-06,2.1335895208098275e-05,0.0,0.0,8.337518543175024e-05,4.4079356321961414e-05,1.3994927796064806e-05,1.946444561881263e-08,4.574326212194561e-07,4.7575316658574616e-07,5.13551995937254e-07,1.207684787223555e-05,0.0,0.0,Agricoltura & cereali
Foreground elementary flows of Sunflower seed production,0.0007299058066855878,2.226940048148026e-06,5.489502716320447e-06,1.885023161750535e-05,0.0,0.0,0.0008912253919514372,4.639921415602777e-05,1.3072214641771179e-05,1.7492104111261527e-06,7.173492175103744e-07,9.26479833784399e-06,7.929965456915045e-06,1.9164471263381232e-05,0.0,0.0,Agricoltura & cereali
Foreground elementary flows of Pea production,0.0008270428780810384,2.0870591069311022e-06,4.9741453592463894e-06,1.7180006956788005e-05,0.0,0.0,4.415109799610889e-05,4.290991613076264e-05,1.581001528094716e-05,2.4704909416329337e-07,1.0773509611732364e-07,1.3138339595666522e-06,1.1260614791348983e-06,1.0656681373597497e-05,0.0,0.0,Agricoltura & cereali
Foreground elementary flows of Starch potato production,0.001160962648327619,2.121214030596985e-06,6.149408827360564e-06,2.7967515874893688e-05,0.0,0.0,1.4920279279636155e-05,2.2188362446831898e-05,1.571221898729846e-05,3.141366126897174e-08,7.382503307711686e-07,7.678178518642543e-07,8.288213679605104e-07,1.775489270221653e-05,0.0,0.0,Agricoltura & cereali
Foreground elementary flows of Lupine production,0.0002236061077887725,5.607004865518422e-07,1.1616855293569955e-06,5.7496481199569225e-06,0.0,0.0,0.0,5.439891834444132e-06,4.8235397181418974e-06,1.6260609142801025e-07,8.830745583387184e-09,8.132838621117283e-07,6.824207169640357e-07,1.524316984436046e-06,0.0,0.0,Agricoltura & cereali
Aggregated inputs for Sunflower seed expelled dehulled (pressing) production,0.0003789375763840274,1.8369603997252211e-06,6.737323096614453e-06,1.0178108581509643e-05,6.155595225307743e-06,1.1758950131140045e-06,0.0003313773435115502,3.3146066649426935e-05,1.0320242654883394e-05,6.320872984316056e-06,1.4969627847959002e-05,1.779984154444054e-05,1.5941097380707748e-05,1.3820354328886612e-05,3.2897512901149646e-05,1.178653088939044e-05,Agricoltura & cereali
Aggregated inputs for Sunflower seed partly dehulled production,0.00037893757638402735,1.8369603997252213e-06,6.737323096614453e-06,1.0178108581509643e-05,6.155595225307744e-06,1.1758950131140045e-06,0.0003313773435115502,3.314606664942694e-05,1.0320242654883394e-05,6.320872984316056e-06,1.4969627847959e-05,1.7799841544440545e-05,1.5941097380707748e-05,1.3820354328886612e-05,3.289751290114964e-05,1.178653088939044e-05,Agricoltura & cereali
Aggregated inputs for Sunflower seed meal (solvent) production,0.00037897700953062527,1.8413983919875475e-06,6.7469031065202804e-06,1.0181929241512164e-05,6.206917959118409e-06,1.1763448905309949e-06,0.00033136668600083013,3.3148730771726736e-05,1.0330846471929162e-05,6.3205335620310695e-06,1.4980004302214017e-05,1.781388062267245e-05,1.594469710748581e-05,1.3822244148075225e-05,3.28975117399229e-05,1.1792163650979586e-05,Agricoltura & cereali
Aggregated inputs for Sunflower seed dehulled production,0.00037893757638402735,1.8369603997252211e-06,6.737323096614453e-06,1.0178108581509643e-05,6.155595225307743e-06,1.1758950131140045e-06,0.00033137734351155015,3.3146066649426935e-05,1.0320242654883394e-05,6.320872984316056e-06,1.4969627847959002e-05,1.7799841544440545e-05,1.5941097380707748e-05,1.3820354328886612e-05,3.289751290114964e-05,1.178653088939044e-05,Agricoltura & cereali
Aggregated inputs for Crude sunflower oil (solvent) production,0.0003789770095306252,1.8413983919875475e-06,6.746903106520278e-06,1.0181929241512164e-05,6.206917959118409e-06,1.1763448905309949e-06,0.0003313666860008302,3.314873077172674e-05,1.0330846471929162e-05,6.3205335620310695e-06,1.4980004302214018e-05,1.7813880622672454e-05,1.5944697107485813e-05,1.3822244148075225e-05,3.289751173992289e-05,1.1792163650979586e-05,Agricoltura & cereali
Truck production (14t - 20t gross weight),5.688868923983552e-06,1.4837129129232076e-05,1.0336526421779552e-05,2.203407573995835e-06,1.948273518305722e-05,5.6437720815446504e-05,9.59704863488849e-07,2.402441560192912e-06,3.3550419618184096e-07,4.980725419613832e-06,8.9471600236763e-06,1.1731851656198687e-05,5.316544858416665e-06,6.994078856820484e-07,2.666361255534622e-07,2.5614578699968146e-05,Trasporti & veicoli
Truck production (12t - 14t gross weight),5.3917459333711665e-06,1.43795105461555e-05,9.790105489090066e-06,2.1085874164700297e-06,1.8536553236128082e-05,5.5569536970006724e-05,8.890689865122909e-07,1.985347260619815e-06,3.084657417002957e-07,4.606987196426413e-06,8.378152078544751e-06,1.1046108792763317e-05,4.987230635944678e-06,6.574398532636855e-07,2.66631722493113e-07,2.4808246615930958e-05,Trasporti & veicoli
"Aggregated inputs for Rye grain, dried production",0.00019654244712331823,2.2440540643975414e-06,7.204189564097431e-06,1.538997932190586e-05,4.766496545238902e-06,2.224951464276503e-07,1.0511277905109337e-06,3.641031765187461e-05,1.0673048364147511e-05,6.102687844196345e-06,1.2052966780249456e-05,1.5225650623460704e-05,1.4048751782193964e-05,1.4741256981134279e-05,8.869780155800533e-06,1.7462051706431792e-06,Agricoltura & cereali
Truck production (7.5t - 12t gross weight),4.690463907093233e-06,1.2715253865593392e-05,8.512490156560948e-06,1.8474877602551085e-06,1.6171926534543985e-05,4.969204527954379e-05,7.601133519805676e-07,1.5377750704382988e-06,2.6216652531739465e-07,3.9340149055763755e-06,7.222401797065242e-06,9.561987339037363e-06,4.305034322505683e-06,5.683980012693367e-07,2.4099134729317547e-07,2.192663392806845e-05,Trasporti & veicoli
"Aggregated inputs for Oat grain, dried production",0.00020187340155556724,2.6230058612475523e-06,8.676866049566859e-06,1.704574984362486e-05,6.093803042480804e-06,4.0195528757938905e-07,0.0005177523671078949,4.049318197041935e-05,1.1817153005431406e-05,8.065647810813664e-06,1.4698135532601373e-05,2.1931166333191602e-05,1.97798804536812e-05,1.6977029531196533e-05,1.6724505707420988e-05,3.1186518628245323e-06,Agricoltura & cereali
Truck production (<= 7.5t gross weight),3.245085436516107e-06,9.087132698705678e-06,5.883350104642642e-06,1.29670471136057e-06,1.1253768008285478e-05,3.628061229878331e-05,5.071285306766713e-07,7.972772536610974e-07,1.7267916958366455e-07,2.617871986089174e-06,4.903807477619734e-06,6.548690140843413e-06,2.931214548229737e-06,3.882719824175963e-07,1.7945796926160534e-07,1.5655829144428326e-05,Trasporti & veicoli
Aggregated inputs for Glucose (via starch hydrolysis) production,0.00017328994977684932,9.98034631683646e-07,4.693564907469263e-06,4.3896603564496486e-06,5.638642196963417e-06,1.462657735107398e-06,0.00025819558714694127,1.2025400202908105e-05,5.104830656575646e-06,3.375283185055126e-06,8.165287568838683e-06,9.494265214534281e-06,7.918974907573111e-06,7.953030861934498e-06,4.204401495944041e-05,1.5176554849901701e-05,Agricoltura & cereali
"Aggregated inputs for Triticale grain, dried production",8.567612645084135e-05,1.3691616285498172e-06,5.755633839464312e-06,8.780878183145583e-06,3.2425714343221804e-06,3.1693357709933465e-07,0.0005375466027593736,2.035718401451072e-05,6.475006531361911e-06,3.6307205404941283e-06,7.821013206439789e-06,8.422180484005535e-06,7.7810038925327e-06,8.86949957862202e-06,1.5791219268121084e-05,1.8465158823685483e-06,Agricoltura & cereali
"Treatment of decommissioned service boat (aquaculture), 15 m, 57 t",5.418787295030245e-06,4.398031744350781e-06,1.809553166308604e-05,1.790520436397298e-05,4.63214783907715e-05,0.000193205825845167,-4.7384540538632025e-06,3.7917345953425473e-07,7.072008734195956e-08,2.13661907484586e-05,1.2587173126047613e-05,3.087985237637041e-05,6.382694848385451e-06,7.827705429294229e-07,2.9271568374344188e-06,0.00010689709428066042,Agricoltura & cereali
"Aggregated inputs for Lupine, meal production",2.3266432934289513e-05,1.7586393300600564e-07,5.826792218047324e-07,1.1896458080479024e-06,3.7774525039116885e-07,2.7839273481889236e-08,1.012624566071171e-07,3.2242898493280407e-06,7.546089944747895e-07,4.465102795906739e-07,1.0802802344127837e-06,9.26922344695688e-07,8.911796363809754e-07,7.56142369362035e-07,7.401373588530069e-07,2.2927521440331103e-07,Agricoltura & cereali
"Aggregated inputs for Lupine, hulls production",2.3266432934289513e-05,1.7586393300600564e-07,5.826792218047324e-07,1.1896458080479024e-06,3.7774525039116885e-07,2.7839273481889236e-08,1.012624566071171e-07,3.2242898493280407e-06,7.546089944747895e-07,4.465102795906739e-07,1.0802802344127837e-06,9.26922344695688e-07,8.911796363809754e-07,7.56142369362035e-07,7.401373588530069e-07,2.2927521440331103e-07,Agricoltura & cereali
"Aggregated inputs for Barley grain, dried production",0.00015432623094980668,2.156464143825377e-06,9.541199501732041e-06,1.3855519455042459e-05,4.474388661881403e-06,3.368577525683307e-07,2.8863592977866792e-05,2.8371343276984105e-05,1.1254520193620205e-05,5.7016982681510624e-06,1.0440583232775255e-05,1.5845570431578866e-05,1.4311002672940432e-05,1.5936487174614917e-05,1.46824019724652e-05,1.9426107270993945e-06,Agricoltura & cereali
"Aggregated inputs for Wheat grain, dried production",0.0002017094748877892,2.716228866422099e-06,1.1409254917107797e-05,1.7520380701200424e-05,6.007279107096637e-06,4.0507558711923413e-07,6.596201375623345e-05,2.3160941183684542e-05,1.447270049728127e-05,9.798268323075837e-06,1.3323735088149521e-05,3.291159890056888e-05,2.8729082321763876e-05,2.1134295962818355e-05,1.5747228622251417e-05,2.123176330311423e-06,Agricoltura & cereali
fructose,0.00012410538067154561,8.418605414559643e-07,4.6079633543089015e-06,3.2179341420912302e-06,6.89175278580588e-06,1.1263345117469184e-06,0.0001796071385266991,8.247915288187599e-06,3.7521027829738242e-06,2.861282841966554e-06,6.2371505277174614e-06,8.336934002383853e-06,5.999640812134284e-06,5.696979819654553e-06,0.00010794365127273452,1.1733036986410446e-05,Altro
high fructose corn syrup,0.00012410538067154561,8.418605414559643e-07,4.6079633543089015e-06,3.2179341420912302e-06,6.89175278580588e-06,1.1263345117469184e-06,0.0001796071385266991,8.247915288187599e-06,3.7521027829738242e-06,2.861282841966554e-06,6.2371505277174614e-06,8.336934002383853e-06,5.999640812134284e-06,5.696979819654553e-06,0.00010794365127273452,1.1733036986410446e-05,Altro
Aggregated inputs for Crude rapeseed oil (solvent) production,0.0003123902430054231,1.998646228753926e-06,7.635151749608055e-06,1.1677187446582202e-05,4.4977818082154145e-06,6.320975321756253e-07,2.6394276284852647e-06,1.5322180992880636e-05,7.108956891344279e-06,4.80367058526169e-06,8.431900196321258e-06,1.5745573582207805e-05,1.335552727166275e-05,1.1936054720739842e-05,4.4054034719107847e-05,2.9044614871778194e-06,Agricoltura & cereali
Aggregated inputs for Rapeseed meal (solvent) production,0.0003028557305558208,1.994343425408208e-06,7.473333032743579e-06,1.15960613710399e-05,4.5057849053576934e-06,6.172487683716509e-07,2.721698888206983e-06,1.5758946574868317e-05,7.281616767935045e-06,4.885141704725717e-06,8.785699015265587e-06,1.5608261105663987e-05,1.3094676567725218e-05,1.1929485272371176e-05,4.559082974388664e-05,2.913798136523002e-06,Agricoltura & cereali
"wood residues, softwood",5.5509735913266745e-08,2.67138703823329e-08,4.21081658920295e-08,6.9520590976856725e-09,8.057866866023038e-08,2.348829272122026e-08,2.670578368171454e-08,2.0427988090904284e-06,2.0882316746692785e-08,2.004846406538724e-08,1.2526584707021147e-07,6.661420729106103e-08,5.399922720133791e-08,7.501126976425478e-09,1.0864207655077311e-07,3.6854219063266956e-08,"Carta, legno & imballaggi"
Aggregated inputs for Fatty acid blend production,6.689231012705577e-05,4.102317728717887e-07,1.9604528016959743e-06,2.182160406338247e-06,1.1442148066308213e-06,2.474498069875623e-07,3.2706794574557444e-05,4.398883870037067e-06,1.9394559289965296e-06,8.604723244256838e-07,2.2628104409058233e-06,2.668058941799864e-06,2.255452308110242e-06,2.2699006127732985e-06,1.2845000463244438e-05,1.9416845089760442e-06,Agricoltura & cereali
"Aggregated inputs for Soap stock (soybean, solvent) production",0.00046407397691351017,3.314245303174094e-06,4.911179624411212e-05,1.666644680183044e-05,8.439088782701543e-06,8.936624539007325e-07,4.120140247931048e-05,3.7829479860755338e-06,2.1618905701798724e-05,9.87433378509685e-06,2.063413321044211e-05,2.9299958643311087e-05,2.424135512446297e-05,8.867657279929262e-06,1.0588629316343148e-05,5.154331473587942e-06,Agricoltura & cereali
Aggregated inputs for Wheat germ production,7.165076940140136e-05,1.2403402813846776e-06,3.5887209442354707e-06,5.365331807464991e-06,3.326994702459883e-06,4.0622337716576463e-07,1.8621277729091925e-05,1.1015591938530099e-05,4.599180635120186e-06,3.161110635800681e-06,6.343984183699628e-06,9.497863345503634e-06,8.168705345284115e-06,7.641588251304842e-06,1.455122668493999e-05,1.5644806212353978e-06,Agricoltura & cereali
Aggregated inputs for Wheat middlings & feed production,7.637015120564467e-05,1.4514738881264723e-06,3.8039775122484535e-06,5.473759332287377e-06,3.5000197337878294e-06,5.15939754624839e-07,1.908103771706449e-05,1.2045843561893053e-05,4.850948883193422e-06,3.1961905875061376e-06,6.5391217130837445e-06,9.697931364423053e-06,8.310110583841917e-06,7.940883652560228e-06,2.1069211940252564e-05,1.8296749230967185e-06,Agricoltura & cereali
Aggregated inputs for Wheat flour production,7.165076940140136e-05,1.2403402813846774e-06,3.5887209442354703e-06,5.365331807464991e-06,3.326994702459883e-06,4.0622337716576463e-07,1.8621277729091925e-05,1.1015591938530097e-05,4.599180635120186e-06,3.161110635800681e-06,6.343984183699628e-06,9.497863345503634e-06,8.168705345284115e-06,7.641588251304842e-06,1.455122668493999e-05,1.5644806212353978e-06,Agricoltura & cereali
hop cones,1.6614288879584552e-06,3.5994858250010996e-06,2.53643227810028e-06,6.753200314507344e-06,4.2539436068802485e-06,2.0305960777940876e-06,3.152031526957516e-05,5.385870475126779e-06,4.84039642512857e-06,4.20129874605187e-06,5.562378754454678e-06,4.482026364631965e-06,3.99653078652607e-06,3.7114778168779598e-06,1.909488357542881e-06,2.736265254035114e-06,Altro
Aggregated inputs for Wheat gluten feed production,5.9486799688291965e-05,1.0471682119352295e-06,2.472287861349885e-06,3.716293085029697e-06,2.2129728030028913e-06,3.764118121172986e-07,1.3170947052015541e-05,7.038446125524886e-06,3.3735129532703524e-06,2.1134674836566035e-06,4.0404121683039285e-06,6.8007240237580246e-06,5.738623375765581e-06,5.132457466277979e-06,1.6922068108243686e-05,1.2577157207973328e-06,Agricoltura & cereali
Aggregated inputs for Wheat bran (wet milling) production,4.1302206964487214e-05,6.6812873144179e-07,1.765626768711296e-06,2.6553233443656296e-06,1.6193021064188215e-06,2.3255581246360732e-07,1.0864608246027153e-05,4.335015839996138e-06,2.3458197481208416e-06,1.7159990638635766e-06,3.1626850916670317e-06,5.50507439679069e-06,4.633887340613761e-06,3.5968356805159763e-06,9.160829784842365e-06,8.159877341559832e-07,Agricoltura & cereali
Aggregated inputs for Wheat gluten meal production,5.9486799688291965e-05,1.04716821193523e-06,2.4722878613498847e-06,3.716293085029697e-06,2.2129728030028913e-06,3.764118121172986e-07,1.3170947052015543e-05,7.038446125524885e-06,3.3735129532703537e-06,2.1134674836566035e-06,4.0404121683039285e-06,6.8007240237580246e-06,5.7386233757655824e-06,5.1324574662779785e-06,1.6922068108243686e-05,1.2577157207973328e-06,Agricoltura & cereali
Aggregated inputs for Wheat starch production,5.0940106086634333e-05,9.159188667487043e-07,2.1146355022782248e-06,3.078837545173776e-06,1.8363788443908437e-06,3.33159755726456e-07,4.081516449976192e-06,5.965184029494547e-06,2.7288335481206155e-06,1.789622201117013e-06,3.2641943992905735e-06,5.9067249436002195e-06,4.9444280964847204e-06,4.435256400430921e-06,1.5823154549020856e-05,1.0861520978526787e-06,Agricoltura & cereali
Aggregated inputs for Rye flour production,5.262781340174139e-05,4.58338642997354e-07,1.846678033871106e-06,2.8363873395903146e-06,1.5447231049376828e-06,1.2469819316755697e-07,2.386083432901695e-07,4.956475291236877e-06,1.8362144276411303e-06,1.476545682209895e-06,3.273573090472892e-06,4.120442009873567e-06,3.598075055346693e-06,3.0321149016462682e-06,1.488383454396252e-06,6.72699273118759e-07,Agricoltura & cereali
Aggregated inputs for Rye middlings production,5.262781340174139e-05,4.583386429973539e-07,1.8466780338711061e-06,2.8363873395903146e-06,1.5447231049376828e-06,1.2469819316755697e-07,2.386083432901727e-07,4.956475291236874e-06,1.8362144276411305e-06,1.476545682209895e-06,3.273573090472892e-06,4.120442009873567e-06,3.598075055346693e-06,3.0321149016462682e-06,1.4883834543962515e-06,6.72699273118759e-07,Agricoltura & cereali
